naive-break_skip-75;67;4;228,86
naive-break_skip-76;59;3;199,58
naive-break_skip-77;61;4;245,26
naive-break_skip-78;60;4;282,76
naive-break_skip-79;62;4;228,26
naive-break_skip-80;99;5;382,24
naive-break_skip-81;61;6;331,35
naive-break_skip-82;60;7;454,16
naive-break_skip-83;68;6;452,27
naive-break_skip-84;63;7;481,06
naive-break_skip-85;62;7;414,29
naive-break_skip-86;73;6;383,56
naive-break_skip-87;64;3;194,85
naive-break_skip-88;66;5;291,76
naive-break_skip-89;68;11;791,349999999999
naive-break_skip-90;62;7;394,98
naive-break_skip-91;71;13;984,859999999999
naive-break_skip-92;68;12;830,059999999999
naive-break_skip-93;66;11;678,15
naive-break_skip-94;70;6;379,76
naive-break_skip-95;70;8;489,05
naive-break_skip-96;68;10;740,85
naive-break_skip-97;64;8;619,16
naive-break_skip-98;99;5;286
naive-break_skip-99;99;8;535,17
naive-break_skip-100;66;7;526,56
naive-break_skip-101;99;6;360,6
naive-break_skip-102;67;7;394,4
naive-break_skip-103;70;6;362,14
naive-break_skip-104;69;6;371,74
naive-break_skip-105;99;6;337,66
naive-break_skip-106;72;7;387,44
naive-break_skip-107;64;6;364,17
naive-break_skip-108;99;7;416,51
naive-break_skip-109;66;6;363,04
naive-break_skip-110;71;7;405,46
naive-break_skip-111;54;8;586,099999999999
naive-break_skip-112;59;3;194,15
naive-break_skip-113;73;5;358,41
naive-break_skip-114;54;4;308,4
naive-break_skip-115;72;3;174,76
naive-break_skip-116;57;3;196,47
naive-break_skip-117;62;8;551,879999999999
naive-break_skip-118;70;5;338,94
naive-break_skip-119;73;0;26,3
naive-break_skip-120;57;2;161,91
naive-break_skip-121;64;0;7,34
naive-break_skip-122;0;0;0
naive-break_skip-123;0;0;0
naive-break_skip-124;0;0;0
naive-break_skip-125;0;0;0
naive-break_skip-126;0;0;0
naive-break_skip-127;2;0;2,25
naive-break_skip-128;0;0;0
naive-break_skip-129;65;0;8,66
naive-break_skip-130;0;0;0
naive-break_skip-131;0;0;0
naive-break_skip-132;0;0;0
naive-break_skip-133;0;0;0
naive-break_skip-134;0;0;0
naive-break_skip-135;0;0;0
naive-break_skip-136;0;0;0
naive-break_skip-137;0;0;0
naive-break_skip-138;0;0;0
naive-break_skip-139;0;0;0
naive-break_skip-140;44;0;7,38
naive-break_skip-141;16;0;3,69
naive-break_skip-142;41;0;7,38
naive-break_skip-143;0;0;0
naive-break_skip-144;0;0;0
naive-break_skip-145;0;0;0
naive-break_skip-146;0;0;0
naive-break_skip-147;0;0;0
naive-break_skip-148;0;0;0
naive-break_skip-149;0;0;0
naive-break_skip-150;0;0;0
naive-break_skip-151;0;0;0
naive-break_skip-152;45;1;75,78
naive-break_skip-153;0;0;0
naive-break_skip-154;47;0;22,95
naive-break_skip-155;0;0;0
naive-break_skip-156;51;1;100,06
naive-break_skip-157;0;0;0
naive-break_skip-158;37;0;34,83
naive-break_skip-159;32;0;18,45
naive-break_skip-160;55;3;168,08
naive-break_skip-161;56;1;104,27
naive-break_skip-162;0;0;0
naive-break_skip-163;40;0;27,45
